group,condition,pronoun,name,pet,job,introduction,memory_pronoun,memory_pet,memory_job,production
both_1,both,she/her,Amanda,cat,engineer,Amanda uses she/her pronouns.<br> Amanda works as an engineer and has a cat.,What pronouns does Amanda use?,What kind of pet does Amanda have?,What is Amanda's job?,After Amanda got home from working as an engineer…
both_1,both,she/her,Emily,dog,Uber driver,Emily uses she/her pronouns.<br> Emily works as an Uber driver and has a dog.,What pronouns does Emily use?,What kind of pet does Emily have?,What is Emily's job?,After Emily got home from working as an Uber driver…
both_1,both,she/her,Jessica,fish,food service,Jessica uses she/her pronouns.<br> Jessica works in food service and has a fish.,What pronouns does Jessica use?,What kind of pet does Jessica have?,What is Jessica's job?,After Jessica got home from working in food service…
both_1,both,she/her,Laura,cat,mechanic,Laura uses she/her pronouns.<br> Laura works as a mechanic and has a cat.,What pronouns does Laura use?,What kind of pet does Laura have?,What is Laura's job?,After Laura got home from working as a mechanic…
both_1,both,he/him,Andrew,dog,teacher,Andrew uses he/him pronouns.<br> Andrew works as a teacher and has a dog.,What pronouns does Andrew use?,What kind of pet does Andrew have?,What is Andrew's job?,After Andrew got home from working as a teacher…
both_1,both,he/him,Brian,fish,accountant,Brian uses he/him pronouns.<br> Brian works as an accountant and has a fish.,What pronouns does Brian use?,What kind of pet does Brian have?,What is Brian's job?,After Brian got home from working as an accountant…
both_1,both,he/him,Daniel,cat,retail,Daniel uses he/him pronouns.<br> Daniel works in retail and has a cat.,What pronouns does Daniel use?,What kind of pet does Daniel have?,What is Daniel's job?,After Daniel got home from working in retail…
both_1,both,he/him,James,dog,janitor,James uses he/him pronouns.<br> James works as a janitor and has a dog.,What pronouns does James use?,What kind of pet does James have?,What is James' job?,After James got home from working as a janitor…
both_1,both,they/them,Melissa,fish,IT,Melissa uses they/them pronouns.<br> Melissa works in IT and has a fish.,What pronouns does Melissa use?,What kind of pet does Melissa have?,What is Melissa's job?,After Melissa got home from working in IT…
both_1,both,they/them,Stephanie,cat,nurse,Stephanie uses they/them pronouns.<br> Stephanie works as a nurse and has a cat.,What pronouns does Stephanie use?,What kind of pet does Stephanie have?,What is Stephanie's job?,After Stephanie got home from working as a nurse…
both_1,both,they/them,Kevin,dog,doctor,Kevin uses they/them pronouns.<br> Kevin works as a doctor and has a dog.,What pronouns does Kevin use?,What kind of pet does Kevin have?,What is Kevin's job?,After Kevin got home from working as a doctor…
both_1,both,they/them,Michael,fish,salesperson,Michael uses they/them pronouns.<br> Michael works in sales and has a fish.,What pronouns does Michael use?,What kind of pet does Michael have?,What is Michael's job?,After Michael got home from working as a salesperson…
both_2,both,she/her,Amanda,dog,IT,Amanda uses she/her pronouns.<br> Amanda works in IT and has a dog.,What pronouns does Amanda use?,What kind of pet does Amanda have?,What is Amanda's job?,After Amanda got home from working in IT…
both_2,both,she/her,Emily,fish,nurse,Emily uses she/her pronouns.<br> Emily works as a nurse and has a fish.,What pronouns does Emily use?,What kind of pet does Emily have?,What is Emily's job?,After Emily got home from working as a nurse…
both_2,both,she/her,Melissa,cat,doctor,Melissa uses she/her pronouns.<br> Melissa works as a doctor and has a cat.,What pronouns does Melissa use?,What kind of pet does Melissa have?,What is Melissa's job?,After Melissa got home from working as a doctor…
both_2,both,she/her,Stephanie,dog,salesperson,Stephanie uses she/her pronouns.<br> Stephanie works in sales and has a dog.,What pronouns does Stephanie use?,What kind of pet does Stephanie have?,What is Stephanie's job?,After Stephanie got home from working as a salesperson…
both_2,both,he/him,Andrew,fish,engineer,Andrew uses he/him pronouns.<br> Andrew works as an engineer and has a fish.,What pronouns does Andrew use?,What kind of pet does Andrew have?,What is Andrew's job?,After Andrew got home from working as an engineer…
both_2,both,he/him,Brian,cat,Uber driver,Brian uses he/him pronouns.<br> Brian works as an Uber driver and has a cat.,What pronouns does Brian use?,What kind of pet does Brian have?,What is Brian's job?,After Brian got home from working as an Uber driver…
both_2,both,he/him,Kevin,dog,food service,Kevin uses he/him pronouns.<br> Kevin works in food service and has a dog.,What pronouns does Kevin use?,What kind of pet does Kevin have?,What is Kevin's job?,After Kevin got home from working in food service…
both_2,both,he/him,Michael,fish,mechanic,Michael uses he/him pronouns.<br> Michael works as a mechanic and has a fish.,What pronouns does Michael use?,What kind of pet does Michael have?,What is Michael's job?,After Michael got home from working as a mechanic…
both_2,both,they/them,Jessica,cat,teacher,Jessica uses they/them pronouns.<br> Jessica works as a teacher and has a cat.,What pronouns does Jessica use?,What kind of pet does Jessica have?,What is Jessica's job?,After Jessica got home from working as a teacher…
both_2,both,they/them,Laura,dog,accountant,Laura uses they/them pronouns.<br> Laura works as a accountant and has a dog.,What pronouns does Laura use?,What kind of pet does Laura have?,What is Laura's job?,After Laura got home from working as an accountant…
both_2,both,they/them,Daniel,fish,retail,Daniel uses they/them pronouns.<br> Daniel works in retail and has a fish.,What pronouns does Daniel use?,What kind of pet does Daniel have?,What is Daniel's job?,After Daniel got home from working in retail…
both_2,both,they/them,James,cat,janitor,James uses they/them pronouns.<br> James works as a janitor and has a cat.,What pronouns does James use?,What kind of pet does James have?,What is James' job?,After James got home from working as a janitor…
both_3,both,she/her,Jessica,fish,teacher,Jessica uses she/her pronouns.<br> Jessica works as a teacher and has a fish.,What pronouns does Jessica use?,What kind of pet does Jessica have?,What is Jessica's job?,After Jessica got home from working as a teacher…
both_3,both,she/her,Laura,cat,accountant,Laura uses she/her pronouns.<br> Laura works as an accountant and has a cat.,What pronouns does Laura use?,What kind of pet does Laura have?,What is Laura's job?,After Laura got home from working as an accountant…
both_3,both,she/her,Melissa,dog,retail,Melissa uses she/her pronouns.<br> Melissa works in retail and has a dog.,What pronouns does Melissa use?,What kind of pet does Melissa have?,What is Melissa's job?,After Melissa got home from working in retail…
both_3,both,she/her,Stephanie,fish,janitor,Stephanie uses she/her pronouns.<br> Stephanie works as a janitor and has a fish.,What pronouns does Stephanie use?,What kind of pet does Stephanie have?,What is Stephanie's job?,After Stephanie got home from working as a janitor…
both_3,both,he/him,Daniel,cat,IT,Daniel uses he/him pronouns.<br> Daniel works in IT and has a cat.,What pronouns does Daniel use?,What kind of pet does Daniel have?,What is Daniel's job?,After Daniel got home from working in  IT…
both_3,both,he/him,James,dog,nurse,James uses he/him pronouns.<br> James works as a nurse and has a dog.,What pronouns does James use?,What kind of pet does James have?,What is James' job?,After James got home from working as a nurse…
both_3,both,he/him,Kevin,fish,doctor,Kevin uses he/him pronouns.<br> Kevin works as a a doctor and has a fish.,What pronouns does Kevin use?,What kind of pet does Kevin have?,What is Kevin's job?,After Kevin got home from working as a doctor…
both_3,both,he/him,Michael,cat,salesperson,Michael uses he/him pronouns.<br> Michael works in sales and has a cat.,What pronouns does Michael use?,What kind of pet does Michael have?,What is Michael's job?,After Michael got home from working as a salesperson…
both_3,both,they/them,Amanda,dog,engineer,Amanda uses they/them pronouns.<br> Amanda works as an engineer and has a dog.,What pronouns does Amanda use?,What kind of pet does Amanda have?,What is Amanda's job?,After Amanda got home from working as an engineer…
