group,type,sentence
1,masc,Ivan is very generous. They usually have a spare dollar to give to a good cause.
1,fem,Reba is very clumsy. They can't try a new sport without getting injured.
1,neu,Hayden is very funny. They can make a pun out of almost any word.
1,every,Concerts are very popular. Every music fan tries to buy their ticket early.
1,each,Dogs are very cute. Each dog owner tries to take their dog’s picture constantly.
1,generic,The ideal barista is very efficient. They will always make drinks carefully and quickly.
2,masc,Mark is very generous. They usually have a spare dollar to give to a good cause.
2,fem,Sarah is very clumsy. They can't try a new sport without getting injured.
2,neu,Jordan is very funny. They can make a pun out of almost any word.
2,every,Concerts are very popular. Every music fan tries to buy their ticket early.
2,each,Dogs are very cute. Each dog owner tries to take their dog’s picture constantly.
2,generic,The ideal barista is very attentive. They will always make drinks carefully and quickly.
3,masc,Ivan is very generous. They usually have a spare dollar to give to a good cause.
3,fem,Reba is very clumsy. They can't try a new sport without getting injured.
3,neu,Hayden is very funny. They can make a pun out of almost any word.
3,every,Concerts are very popular. Every music fan tries to buy their ticket early.
3,each,Dogs are very cute. Each dog owner tries to take their dog’s picture constantly.
3,generic,The ideal barista is very efficient. They will always make drinks carefully and quickly.
4,masc,Mark is very generous. They usually have a spare dollar to give to a good cause.
4,fem,Sarah is very clumsy. They can't try a new sport without getting injured.
4,neu,Jordan is very funny. They can make a pun out of almost any word.
4,every,Concerts are very popular. Every music fan tries to buy their ticket early.
4,each,Dogs are very cute. Each dog owner tries to take their dog’s picture constantly.
4,generic,The ideal barista is very attentive. They will always make drinks carefully and quickly.
5,masc,Ivan is very generous. They usually have a spare dollar to give to a good cause.
5,fem,Reba is very clumsy. They can't try a new sport without getting injured.
5,neu,Hayden is very funny. They can make a pun out of almost any word.
5,every,Concerts are very popular. Every music fan tries to buy their ticket early.
5,each,Dogs are very cute. Each dog owner tries to take their dog’s picture constantly.
5,generic,The ideal barista is very efficient. They will always make drinks carefully and quickly.
6,masc,Mark is very generous. They usually have a spare dollar to give to a good cause.
6,fem,Sarah is very clumsy. They can't try a new sport without getting injured.
6,neu,Jordan is very funny. They can make a pun out of almost any word.
6,every,Concerts are very popular. Every music fan tries to buy their ticket early.
6,each,Dogs are very cute. Each dog owner tries to take their dog’s picture constantly.
6,generic,The ideal barista is very attentive. They will always make drinks carefully and quickly.
7,masc,Ivan is very generous. They usually have a spare dollar to give to a good cause.
7,fem,Reba is very clumsy. They can't try a new sport without getting injured.
7,neu,Hayden is very funny. They can make a pun out of almost any word.
7,every,Concerts are very popular. Every music fan tries to buy their ticket early.
7,each,Dogs are very cute. Each dog owner tries to take their dog’s picture constantly.
7,generic,The ideal barista is very efficient. They will always make drinks carefully and quickly.
8,masc,Mark is very generous. They usually have a spare dollar to give to a good cause.
8,fem,Sarah is very clumsy. They can't try a new sport without getting injured.
8,neu,Jordan is very funny. They can make a pun out of almost any word.
8,every,Concerts are very popular. Every music fan tries to buy their ticket early.
8,each,Dogs are very cute. Each dog owner tries to take their dog’s picture constantly.
8,generic,The ideal barista is very attentive. They will always make drinks carefully and quickly.
9,masc,Ivan is very generous. They usually have a spare dollar to give to a good cause.
9,fem,Reba is very clumsy. They can't try a new sport without getting injured.
9,neu,Hayden is very funny. They can make a pun out of almost any word.
9,every,Concerts are very popular. Every music fan tries to buy their ticket early.
9,each,Dogs are very cute. Each dog owner tries to take their dog’s picture constantly.
9,generic,The ideal barista is very efficient. They will always make drinks carefully and quickly.
10,masc,Mark is very generous. They usually have a spare dollar to give to a good cause.
10,fem,Sarah is very clumsy. They can't try a new sport without getting injured.
10,neu,Jordan is very funny. They can make a pun out of almost any word.
10,every,Concerts are very popular. Every music fan tries to buy their ticket early.
10,each,Dogs are very cute. Each dog owner tries to take their dog’s picture constantly.
10,generic,The ideal barista is very attentive. They will always make drinks carefully and quickly.
11,masc,Ivan is very generous. They usually have a spare dollar to give to a good cause.
11,fem,Reba is very clumsy. They can't try a new sport without getting injured.
11,neu,Hayden is very funny. They can make a pun out of almost any word.
11,every,Concerts are very popular. Every music fan tries to buy their ticket early.
11,each,Dogs are very cute. Each dog owner tries to take their dog’s picture constantly.
11,generic,The ideal barista is very efficient. They will always make drinks carefully and quickly.
12,masc,Mark is very generous. They usually have a spare dollar to give to a good cause.
12,fem,Sarah is very clumsy. They can't try a new sport without getting injured.
12,neu,Jordan is very funny. They can make a pun out of almost any word.
12,every,Concerts are very popular. Every music fan tries to buy their ticket early.
12,each,Dogs are very cute. Each dog owner tries to take their dog’s picture constantly.
12,generic,The ideal barista is very attentive. They will always make drinks carefully and quickly.
13,masc,Ivan is very generous. They usually have a spare dollar to give to a good cause.
13,fem,Reba is very clumsy. They can't try a new sport without getting injured.
13,neu,Hayden is very funny. They can make a pun out of almost any word.
13,every,Concerts are very popular. Every music fan tries to buy their ticket early.
13,each,Dogs are very cute. Each dog owner tries to take their dog’s picture constantly.
13,generic,The ideal barista is very efficient. They will always make drinks carefully and quickly.
14,masc,Mark is very generous. They usually have a spare dollar to give to a good cause.
14,fem,Sarah is very clumsy. They can't try a new sport without getting injured.
14,neu,Jordan is very funny. They can make a pun out of almost any word.
14,every,Concerts are very popular. Every music fan tries to buy their ticket early.
14,each,Dogs are very cute. Each dog owner tries to take their dog’s picture constantly.
14,generic,The ideal barista is very attentive. They will always make drinks carefully and quickly.
15,masc,Ivan is very generous. They usually have a spare dollar to give to a good cause.
15,fem,Reba is very clumsy. They can't try a new sport without getting injured.
15,neu,Hayden is very funny. They can make a pun out of almost any word.
15,every,Concerts are very popular. Every music fan tries to buy their ticket early.
15,each,Dogs are very cute. Each dog owner tries to take their dog’s picture constantly.
15,generic,The ideal barista is very efficient. They will always make drinks carefully and quickly.
16,masc,Mark is very generous. They usually have a spare dollar to give to a good cause.
16,fem,Sarah is very clumsy. They can't try a new sport without getting injured.
16,neu,Jordan is very funny. They can make a pun out of almost any word.
16,every,Concerts are very popular. Every music fan tries to buy their ticket early.
16,each,Dogs are very cute. Each dog owner tries to take their dog’s picture constantly.
16,generic,The ideal barista is very attentive. They will always make drinks carefully and quickly.
17,masc,Ivan is very generous. They usually have a spare dollar to give to a good cause.
17,fem,Reba is very clumsy. They can't try a new sport without getting injured.
17,neu,Hayden is very funny. They can make a pun out of almost any word.
17,every,Concerts are very popular. Every music fan tries to buy their ticket early.
17,each,Dogs are very cute. Each dog owner tries to take their dog’s picture constantly.
17,generic,The ideal barista is very efficient. They will always make drinks carefully and quickly.
18,masc,Mark is very generous. They usually have a spare dollar to give to a good cause.
18,fem,Sarah is very clumsy. They can't try a new sport without getting injured.
18,neu,Jordan is very funny. They can make a pun out of almost any word.
18,every,Concerts are very popular. Every music fan tries to buy their ticket early.
18,each,Dogs are very cute. Each dog owner tries to take their dog’s picture constantly.
18,generic,The ideal barista is very attentive. They will always make drinks carefully and quickly.
19,masc,Ivan is very generous. They usually have a spare dollar to give to a good cause.
19,fem,Reba is very clumsy. They can't try a new sport without getting injured.
19,neu,Hayden is very funny. They can make a pun out of almost any word.
19,every,Concerts are very popular. Every music fan tries to buy their ticket early.
19,each,Dogs are very cute. Each dog owner tries to take their dog’s picture constantly.
19,generic,The ideal barista is very efficient. They will always make drinks carefully and quickly.
20,masc,Mark is very generous. They usually have a spare dollar to give to a good cause.
20,fem,Sarah is very clumsy. They can't try a new sport without getting injured.
20,neu,Jordan is very funny. They can make a pun out of almost any word.
20,every,Concerts are very popular. Every music fan tries to buy their ticket early.
20,each,Dogs are very cute. Each dog owner tries to take their dog’s picture constantly.
20,generic,The ideal barista is very attentive. They will always make drinks carefully and quickly.
21,masc,Ivan is very generous. They usually have a spare dollar to give to a good cause.
21,fem,Reba is very clumsy. They can't try a new sport without getting injured.
21,neu,Hayden is very funny. They can make a pun out of almost any word.
21,every,Concerts are very popular. Every music fan tries to buy their ticket early.
21,each,Dogs are very cute. Each dog owner tries to take their dog’s picture constantly.
21,generic,The ideal barista is very efficient. They will always make drinks carefully and quickly.
22,masc,Mark is very generous. They usually have a spare dollar to give to a good cause.
22,fem,Sarah is very clumsy. They can't try a new sport without getting injured.
22,neu,Jordan is very funny. They can make a pun out of almost any word.
22,every,Concerts are very popular. Every music fan tries to buy their ticket early.
22,each,Dogs are very cute. Each dog owner tries to take their dog’s picture constantly.
22,generic,The ideal barista is very attentive. They will always make drinks carefully and quickly.
23,masc,Ivan is very generous. They usually have a spare dollar to give to a good cause.
23,fem,Reba is very clumsy. They can't try a new sport without getting injured.
23,neu,Hayden is very funny. They can make a pun out of almost any word.
23,every,Concerts are very popular. Every music fan tries to buy their ticket early.
23,each,Dogs are very cute. Each dog owner tries to take their dog’s picture constantly.
23,generic,The ideal barista is very efficient. They will always make drinks carefully and quickly.
24,masc,Mark is very generous. They usually have a spare dollar to give to a good cause.
24,fem,Sarah is very clumsy. They can't try a new sport without getting injured.
24,neu,Jordan is very funny. They can make a pun out of almost any word.
24,every,Concerts are very popular. Every music fan tries to buy their ticket early.
24,each,Dogs are very cute. Each dog owner tries to take their dog’s picture constantly.
24,generic,The ideal barista is very attentive. They will always make drinks carefully and quickly.
